308116.217,2764453.572
308157.948,2764445.109
308198.481,2764480.838
308241.317,2764473.488
308238.656,2764458.412
308211.701,2764410.889
308203.227,2764385.598
308127.846,2764401.450
308097.274,2764325.888
308067.129,2764411.383
308031.840,2764448.340
308082.501,2764500.283
308040.764,2764510.408
308009.436,2764494.103
307973.268,2764452.412
307956.278,2764507.281
307908.613,2764510.402
307899.602,2764468.826
307930.000,2764442.592
307934.605,2764380.139
307955.745,2764251.517
308390.280,2764319.048
308446.475,2764351.632
307963.664,2764026.361
307923.150,2764009.463
307913.389,2763882.372
307855.105,2763841.696
307803.241,2763810.795
307793.139,2763883.969
307754.835,2763845.593
