308116.217,2764453.572,121.575683,24.986933
308157.948,2764445.109,121.576096,24.986855
308198.481,2764480.838,121.576499,24.987176
308241.317,2764473.488,121.576923,24.987108
308238.656,2764458.412,121.576896,24.986972
308211.701,2764410.889,121.576627,24.986544
308203.227,2764385.598,121.576542,24.986316
308127.846,2764401.450,121.575796,24.986462
308097.274,2764325.888,121.575490,24.985781
308067.129,2764411.383,121.575195,24.986554
308031.840,2764448.340,121.574847,24.986889
308082.501,2764500.283,121.575351,24.987356
308040.764,2764510.408,121.574938,24.987449
308009.436,2764494.103,121.574627,24.987303
307973.268,2764452.412,121.574267,24.986928
307956.278,2764507.281,121.574101,24.987424
307908.613,2764510.402,121.573629,24.987454
307899.602,2764468.826,121.573538,24.987079
307930.000,2764442.592,121.573838,24.986841
307934.605,2764380.139,121.573881,24.986277
307955.745,2764251.517,121.574085,24.985115
308390.280,2764319.048,121.578392,24.985708
308446.475,2764351.632,121.578950,24.986000
307963.664,2764026.361,121.574154,24.983082
307923.150,2764009.463,121.573752,24.982931
307913.389,2763882.372,121.573650,24.981784
307855.105,2763841.696,121.573071,24.981419
307803.241,2763810.795,121.572556,24.981142
307793.139,2763883.969,121.572459,24.981803
307754.835,2763845.593,121.572078,24.981458
